datetime,portfolio_value,cash,positions,return
2023-12-01 08:30:00-05:00,100000.0,100000.0,[],
2023-12-01 09:30:00-05:00,100000.0,100000.0,[],0.0
2023-12-01 09:30:00-05:00,100000.0,100000.0,[],0.0
2023-12-01 16:00:00-05:00,99999.71002197266,99544.23001098633,"[{'asset': SPY, 'quantity': 1.0}]",-2.8997802734576084e-06
2023-12-04 08:30:00-05:00,100000.0,99544.23001098633,"[{'asset': SPY, 'quantity': 1.0}]",2.899788682286797e-06
2023-12-04 09:30:00-05:00,100000.0,99544.23001098633,"[{'asset': SPY, 'quantity': 1.0}]",0.0
2023-12-04 09:30:00-05:00,100000.0,99544.23001098633,"[{'asset': SPY, 'quantity': 1.0}]",0.0
2023-12-04 16:00:00-05:00,100000.0,99544.23001098633,"[{'asset': SPY, 'quantity': 1.0}]",0.0
2023-12-05 08:30:00-05:00,99999.83001708984,99544.23001098633,"[{'asset': SPY, 'quantity': 1.0}]",-1.699829101586836e-06
2023-12-05 09:30:00-05:00,99999.83001708984,99544.23001098633,"[{'asset': SPY, 'quantity': 1.0}]",0.0
2023-12-05 09:30:00-05:00,99999.83001708984,99544.23001098633,"[{'asset': SPY, 'quantity': 1.0}]",0.0
2023-12-05 16:00:00-05:00,99999.83001708984,99544.23001098633,"[{'asset': SPY, 'quantity': 1.0}]",0.0
2023-12-06 08:30:00-05:00,99999.49002075195,99544.23001098633,"[{'asset': SPY, 'quantity': 1.0}]",-3.3999691583241898e-06
2023-12-06 09:30:00-05:00,99999.49002075195,99544.23001098633,"[{'asset': SPY, 'quantity': 1.0}]",0.0
2023-12-06 09:30:00-05:00,99999.49002075195,99544.23001098633,"[{'asset': SPY, 'quantity': 1.0}]",0.0
2023-12-06 16:00:00-05:00,99999.49002075195,99544.23001098633,"[{'asset': SPY, 'quantity': 1.0}]",0.0
2023-12-07 08:30:00-05:00,100003.04000854492,99544.23001098633,"[{'asset': SPY, 'quantity': 1.0}]",3.5500058972681714e-05
2023-12-07 09:30:00-05:00,100003.04000854492,99544.23001098633,"[{'asset': SPY, 'quantity': 1.0}]",0.0
2023-12-07 09:30:00-05:00,100003.04000854492,99544.23001098633,"[{'asset': SPY, 'quantity': 1.0}]",0.0
2023-12-07 16:00:00-05:00,100003.04000854492,99544.23001098633,"[{'asset': SPY, 'quantity': 1.0}]",0.0
2023-12-08 08:30:00-05:00,100001.14001464844,99544.23001098633,"[{'asset': SPY, 'quantity': 1.0}]",-1.8999361382610047e-05
2023-12-08 09:30:00-05:00,100001.14001464844,99544.23001098633,"[{'asset': SPY, 'quantity': 1.0}]",0.0
2023-12-08 09:30:00-05:00,100001.14001464844,99544.23001098633,"[{'asset': SPY, 'quantity': 1.0}]",0.0
2023-12-08 16:00:00-05:00,100001.14001464844,99544.23001098633,"[{'asset': SPY, 'quantity': 1.0}]",0.0
2023-12-11 08:30:00-05:00,100001.6900024414,99544.23001098633,"[{'asset': SPY, 'quantity': 1.0}]",5.499815231013727e-06
2023-12-11 09:30:00-05:00,100001.6900024414,99544.23001098633,"[{'asset': SPY, 'quantity': 1.0}]",0.0
2023-12-11 09:30:00-05:00,100001.6900024414,99544.23001098633,"[{'asset': SPY, 'quantity': 1.0}]",0.0
2023-12-11 16:00:00-05:00,100001.6900024414,99544.23001098633,"[{'asset': SPY, 'quantity': 1.0}]",0.0
2023-12-12 08:30:00-05:00,100003.92001342773,99544.23001098633,"[{'asset': SPY, 'quantity': 1.0}]",2.229973299727739e-05
2023-12-12 09:30:00-05:00,100003.92001342773,99544.23001098633,"[{'asset': SPY, 'quantity': 1.0}]",0.0
2023-12-12 09:30:00-05:00,100003.92001342773,99544.23001098633,"[{'asset': SPY, 'quantity': 1.0}]",0.0
2023-12-12 16:00:00-05:00,100003.92001342773,99544.23001098633,"[{'asset': SPY, 'quantity': 1.0}]",0.0
2023-12-13 08:30:00-05:00,100005.86001586914,99544.23001098633,"[{'asset': SPY, 'quantity': 1.0}]",1.9399263960329094e-05
2023-12-13 09:30:00-05:00,100005.86001586914,99544.23001098633,"[{'asset': SPY, 'quantity': 1.0}]",0.0
2023-12-13 09:30:00-05:00,100005.86001586914,99544.23001098633,"[{'asset': SPY, 'quantity': 1.0}]",0.0
2023-12-13 16:00:00-05:00,100005.86001586914,99544.23001098633,"[{'asset': SPY, 'quantity': 1.0}]",0.0
2023-12-14 08:30:00-05:00,100008.7200012207,99544.23001098633,"[{'asset': SPY, 'quantity': 1.0}]",2.8598177657768176e-05
2023-12-14 09:30:00-05:00,100008.7200012207,99544.23001098633,"[{'asset': SPY, 'quantity': 1.0}]",0.0
2023-12-14 09:30:00-05:00,100008.7200012207,99544.23001098633,"[{'asset': SPY, 'quantity': 1.0}]",0.0
2023-12-14 16:00:00-05:00,100008.7200012207,99544.23001098633,"[{'asset': SPY, 'quantity': 1.0}]",0.0
